station_id,station_name,county,town,lat,lon,altitude_m,temperature_c,daily_high,daily_low,humidity_percent,wind_speed_mps,pressure_hpa,weather,observed_at
466940,基隆,基隆市,仁愛區,25.133314,121.740475,26.7,25.9,28.4,23.7,76.0,0.9,1013.0,晴,2026-09-23T22:10:00+08:00
466900,淡水,新北市,淡水區,25.164889,121.448906,19.0,24.1,31.6,22.4,81.0,0.4,1013.8,晴,2026-09-23T22:10:00+08:00
466881,新北,新北市,新店區,24.959207,121.525196,24.5,25.0,32.4,21.1,79.0,2.0,1013.1,晴,2026-09-23T22:10:00+08:00
466930,陽明山,臺北市,北投區,25.162078,121.544547,607.1,21.1,25.2,19.3,86.0,1.6,948.1,晴,2026-09-23T22:10:00+08:00
466910,鞍部,臺北市,北投區,25.182586,121.529731,837.6,19.0,24.0,17.4,98.0,2.2,-99.0,晴,2026-09-23T22:10:00+08:00
467571,新竹,新竹縣,竹北市,24.828575,121.01445,26.9,26.0,31.9,22.2,75.0,1.3,1012.1,晴,2026-09-23T22:10:00+08:00
467490,臺中,臺中市,北區,24.145736,120.684075,84.0,27.2,32.3,25.6,76.0,0.6,1005.4,晴,2026-09-23T22:10:00+08:00
467350,澎湖,澎湖縣,馬公市,23.565503,119.563094,10.7,27.1,30.3,26.2,81.0,3.5,1014.2,晴,2026-09-23T22:10:00+08:00
467650,日月潭,南投縣,魚池鄉,23.881325,120.90805,1017.5,20.9,25.0,19.8,99.0,0.3,-99.0,晴有靄,2026-09-23T22:10:00+08:00
467530,阿里山,嘉義縣,阿里山鄉,23.508208,120.813242,2413.4,13.3,18.2,11.3,100.0,0.2,-99.0,晴有靄,2026-09-23T22:10:00+08:00
467550,玉山,南投縣,信義鄉,23.48718,120.95943,3844.8,3.6,19.3,3.5,82.0,-99.0,-99.0,晴,2026-09-23T22:10:00+08:00
467480,嘉義,嘉義市,西區,23.495925,120.432906,26.9,26.6,31.3,24.4,89.0,0.0,1011.9,多雲,2026-09-23T22:10:00+08:00
467410,臺南,臺南市,中西區,22.99328,120.20492,40.8,29.5,31.2,27.0,65.0,0.6,1012.4,多雲,2026-09-23T22:10:00+08:00
467441,高雄,高雄市,楠梓區,22.730432,120.312516,11.8,26.9,31.3,25.3,87.0,0.0,1013.9,多雲,2026-09-23T22:10:00+08:00
467590,恆春,屏東縣,恆春鎮,22.003897,120.746339,22.3,27.7,31.7,25.2,73.0,6.1,1012.2,晴,2026-09-23T22:10:00+08:00
467080,宜蘭,宜蘭縣,宜蘭市,24.763975,121.756528,7.2,26.2,30.2,22.5,82.0,1.0,1015.5,晴,2026-09-23T22:10:00+08:00
466990,花蓮,花蓮縣,花蓮市,23.975128,121.613275,16.1,27.1,31.2,24.0,76.0,1.2,1014.2,晴,2026-09-23T22:10:00+08:00
467610,成功,臺東縣,成功鎮,23.097486,121.373428,33.5,25.6,30.9,23.0,75.0,2.1,1011.6,晴,2026-09-23T22:10:00+08:00
467660,臺東,臺東縣,臺東市,22.752211,121.154586,9.0,27.2,30.5,24.9,74.0,1.2,1014.9,晴,2026-09-23T22:10:00+08:00
467540,大武,臺東縣,大武鄉,22.35572,120.90374,8.1,26.2,31.2,22.3,77.0,1.5,1014.9,晴,2026-09-23T22:10:00+08:00
467620,蘭嶼,臺東縣,蘭嶼鄉,22.0369,121.55843,324.0,24.5,27.9,23.8,89.0,4.8,978.8,晴,2026-09-23T22:10:00+08:00
466950,彭佳嶼,基隆市,中正區,25.627975,122.079744,101.7,25.5,28.7,24.0,79.0,3.9,1004.8,晴,2026-09-23T22:10:00+08:00
467300,東吉島,澎湖縣,望安鄉,23.25727,119.66762,43.0,27.0,29.9,26.0,85.0,7.3,1010.4,晴,2026-09-23T22:10:00+08:00
468100,東沙島,高雄市,旗津區,20.700856,116.73,4.0,28.0,31.6,27.2,83.0,3.7,1014.5,-99,2026-09-23T22:10:00+08:00
467420,永康,臺南市,永康區,23.038386,120.2367,8.1,28.5,31.3,27.0,69.0,1.1,1013.8,多雲,2026-09-23T22:10:00+08:00
C2W030,金門(東),金門縣,金湖鎮,24.448431,118.451786,24.0,26.2,29.5,25.2,80.0,2.6,-99.0,晴,2026-09-23T22:10:00+08:00
466920,臺北,臺北市,中正區,25.037658,121.514853,6.3,26.6,31.6,24.1,72.0,3.1,1012.5,晴,2026-09-23T22:10:00+08:00
A0G720,彰師大,彰化縣,彰化市,24.081389,120.556667,37.0,26.7,34.0,24.8,81.0,0.9,-99.0,晴,2026-09-23T22:10:00+08:00
A0Z080,合歡山,花蓮縣,秀林鄉,24.143186,121.284231,3171.0,8.8,17.5,8.0,69.0,1.0,-99.0,晴,2026-09-23T22:10:00+08:00
467110,金門,金門縣,金城鎮,24.407306,118.289281,47.9,25.3,30.9,24.4,88.0,2.9,1013.5,晴,2026-09-23T22:10:00+08:00
467990,馬祖,連江縣,南竿鄉,26.169467,119.923158,97.8,24.9,28.9,24.6,84.0,2.3,1007.0,晴,2026-09-23T22:10:00+08:00
A0K420,麥寮,雲林縣,麥寮鄉,23.798783,120.217717,22.0,26.9,30.4,24.7,85.0,4.7,-99.0,晴,2026-09-23T22:10:00+08:00
467050,新屋,桃園市,新屋區,25.006725,121.047492,20.6,25.6,29.6,23.5,83.0,5.0,1013.1,晴,2026-09-23T22:10:00+08:00
A2K570,古坑(花卉中心),雲林縣,古坑鄉,23.63353,120.55239,90.0,25.7,31.4,23.4,91.0,0.2,-99.0,多雲,2026-09-23T22:10:00+08:00
CAAH60,大安森林,臺北市,大安區,25.02955,121.53628,18.0,25.4,31.5,22.0,76.0,0.1,-99.0,晴,2026-09-23T22:10:00+08:00
CAHA00,消防署訓練中心,南投縣,竹山鎮,23.82137,120.72293,176.0,25.7,32.9,24.0,85.0,0.2,-99.0,多雲,2026-09-23T22:10:00+08:00
467270,田中,彰化縣,田中鎮,23.873803,120.581286,48.6,27.1,31.9,24.6,82.0,0.9,1010.0,多雲,2026-09-23T22:10:00+08:00
CAC040,拉拉山,桃園市,復興區,24.699317,121.427133,1684.0,17.1,23.4,15.3,49.0,0.8,-99.0,晴,2026-09-23T22:10:00+08:00
CAW010,東引,連江縣,東引鄉,26.358836,120.483631,42.0,26.0,28.4,25.2,77.0,2.9,-99.0,晴,2026-09-23T22:10:00+08:00
CAP070,高雄燈塔,高雄市,旗津區,22.614594,120.26468,34.0,27.4,34.8,25.9,82.0,0.1,-99.0,多雲,2026-09-23T22:10:00+08:00
A0F010,武陵,臺中市,和平區,24.352825,121.308286,1804.0,13.4,25.3,10.5,92.0,0.0,-99.0,晴,2026-09-23T22:10:00+08:00
467280,後龍,苗栗縣,造橋鄉,24.648563,120.831834,30.0,25.0,30.2,20.3,83.0,1.5,1011.4,晴,2026-09-23T22:10:00+08:00
467290,古坑,雲林縣,古坑鄉,23.633536,120.551906,91.9,26.0,30.7,23.7,91.0,0.2,1004.7,多雲,2026-09-23T22:10:00+08:00
C2C410,中央大學,桃園市,中壢區,24.967652,121.185165,129.0,25.3,30.9,23.3,77.0,2.6,-99.0,晴,2026-09-23T22:10:00+08:00
A0A460,文化大學,臺北市,士林區,25.13605,121.53987,424.4,22.7,27.5,22.0,83.0,5.7,-99.0,晴,2026-09-23T22:10:00+08:00
A0A010,臺灣大學,臺北市,大安區,25.014278,121.539416,17.0,25.8,31.5,22.6,77.0,1.1,-99.0,晴,2026-09-23T22:10:00+08:00
72S200,班鳩分場,臺東縣,卑南鄉,22.829528,121.077694,240.0,23.2,31.2,20.6,87.0,1.1,-99.0,晴,2026-09-23T22:10:00+08:00
72S590,賓朗果園,臺東縣,卑南鄉,22.813889,121.071278,290.0,22.7,29.8,20.2,90.0,0.8,-99.0,晴,2026-09-23T22:10:00+08:00
82S580,臺東茶改,臺東縣,鹿野鄉,22.907694,121.130139,175.0,24.8,32.8,21.0,83.0,0.5,-99.0,晴,2026-09-23T22:10:00+08:00
U2H480,臺大溪頭,南投縣,鹿谷鄉,23.670306,120.798194,1150.0,18.6,24.3,18.0,99.0,0.0,-99.0,晴,2026-09-23T22:10:00+08:00
72G600,臺中農改,彰化縣,大村鄉,24.003028,120.534389,19.0,26.4,32.9,24.4,82.0,0.8,-99.0,晴,2026-09-23T22:10:00+08:00
72K220,雲林分場,雲林縣,斗南鎮,23.634556,120.477333,60.0,27.0,33.4,24.3,82.0,0.7,-99.0,多雲,2026-09-23T22:10:00+08:00
72N100,臺南農改,臺南市,新化區,23.0605,120.342194,41.0,26.1,32.1,24.7,91.0,0.0,-99.0,多雲,2026-09-23T22:10:00+08:00
72V140,旗南農改,高雄市,旗山區,22.857861,120.516667,44.0,26.3,31.1,24.5,87.0,0.9,-99.0,多雲,2026-09-23T22:10:00+08:00
72Q010,高雄農改,屏東縣,長治鄉,22.709333,120.525889,45.0,26.0,32.5,24.9,89.0,0.0,-99.0,晴,2026-09-23T22:10:00+08:00
B2E890,新竹畜試,苗栗縣,西湖鄉,24.527806,120.770972,90.0,22.5,31.0,19.5,98.0,0.0,-99.0,晴,2026-09-23T22:10:00+08:00
72C440,桃園農改,桃園市,新屋區,24.950944,121.030583,70.0,25.1,31.3,22.4,79.0,2.1,-99.0,晴,2026-09-23T22:10:00+08:00
72D080,五峰站,新竹縣,五峰鄉,24.612194,121.157167,1048.0,18.9,27.8,18.0,96.0,0.4,-99.0,晴,2026-09-23T22:10:00+08:00
82C160,茶改場,桃園市,楊梅區,24.908472,121.185333,195.0,24.2,31.6,20.7,74.0,1.3,-99.0,晴,2026-09-23T22:10:00+08:00
A2C560,農工中心,桃園市,中壢區,24.985917,121.239833,121.0,25.5,31.5,23.5,73.0,1.6,-99.0,晴,2026-09-23T22:10:00+08:00
82A750,文山茶改,新北市,石碇區,24.955778,121.631222,401.0,21.1,28.7,20.3,93.0,0.0,-99.0,晴,2026-09-23T22:10:00+08:00
72U480,蘭陽分場,宜蘭縣,三星鄉,24.686306,121.716583,27.0,25.4,30.7,22.0,82.0,1.0,-99.0,晴,2026-09-23T22:10:00+08:00
K2E360,苗栗農改,苗栗縣,公館鄉,24.495722,120.829111,100.0,23.0,31.0,20.3,93.0,0.3,-99.0,晴,2026-09-23T22:10:00+08:00
K2F750,種苗繁殖,臺中市,新社區,24.225972,120.800917,470.0,22.7,29.6,21.0,93.0,0.0,-99.0,晴,2026-09-23T22:10:00+08:00
82H840,凍頂茶改,南投縣,鹿谷鄉,23.762528,120.7405,390.0,24.2,29.9,22.5,85.0,0.8,-99.0,晴,2026-09-23T22:10:00+08:00
82H320,魚池茶改,南投縣,魚池鄉,23.875611,120.913583,850.0,21.2,25.4,19.5,95.0,0.8,-99.0,晴,2026-09-23T22:10:00+08:00
G2L020,嘉義農試,嘉義市,東區,23.485028,120.473806,79.0,25.6,30.8,23.3,87.0,0.0,-99.0,多雲,2026-09-23T22:10:00+08:00
72M360,義竹分場,嘉義縣,義竹鄉,23.360694,120.279361,6.0,26.4,31.6,23.7,79.0,1.0,-99.0,多雲,2026-09-23T22:10:00+08:00
B2N890,畜試所,臺南市,新化區,23.058972,120.336406,31.0,25.9,31.2,24.6,94.0,0.0,-99.0,多雲,2026-09-23T22:10:00+08:00
G2P820,鳳山農試,高雄市,鳳山區,22.646611,120.356083,37.0,26.8,31.0,24.4,88.0,0.3,-99.0,多雲,2026-09-23T22:10:00+08:00
B2Q810,恆春畜試,屏東縣,恆春鎮,21.945583,120.802167,20.0,26.2,31.0,24.2,74.0,2.1,-99.0,晴,2026-09-23T22:10:00+08:00
72T250,花蓮農改,花蓮縣,吉安鄉,23.975222,121.563889,36.0,25.5,30.2,21.2,81.0,0.0,-99.0,晴,2026-09-23T22:10:00+08:00
E2H360,蓮華池,南投縣,魚池鄉,23.918333,120.885278,681.0,23.0,29.9,20.5,93.0,0.0,-99.0,晴,2026-09-23T22:10:00+08:00
72HA00,埔里分場,南投縣,魚池鄉,23.903208,120.963364,628.0,23.0,28.0,20.5,95.0,0.3,-99.0,晴,2026-09-23T22:10:00+08:00
U2HA30,臺大和社,南投縣,信義鄉,23.590856,120.888864,772.0,22.1,29.0,20.0,86.0,0.0,-99.0,晴,2026-09-23T22:10:00+08:00
U2HA40,臺大內茅埔,南投縣,信義鄉,23.689722,120.851117,507.0,23.7,29.5,23.0,90.0,0.0,-99.0,晴,2026-09-23T22:10:00+08:00
G2M350,溪口農場,嘉義縣,溪口鄉,23.58565,120.408111,26.0,26.8,32.3,25.0,82.0,0.8,-99.0,多雲,2026-09-23T22:10:00+08:00
E2K600,四湖植物園,雲林縣,四湖鄉,23.676986,120.163433,11.0,26.7,30.9,24.3,85.0,0.5,-99.0,晴,2026-09-23T22:10:00+08:00
G2F820,農業試驗所,臺中市,霧峰區,24.031261,120.688133,90.0,26.6,33.6,23.9,86.0,0.0,-99.0,多雲,2026-09-23T22:10:00+08:00
72M700,嘉義分場,嘉義縣,鹿草鄉,23.416869,120.283061,14.0,26.6,31.8,24.5,80.0,1.3,-99.0,多雲,2026-09-23T22:10:00+08:00
72N240,七股研究中心,臺南市,七股區,23.081672,120.062894,2.0,28.6,31.5,27.3,74.0,1.4,-99.0,多雲,2026-09-23T22:10:00+08:00
42HA10,萬大發電廠,南投縣,仁愛鄉,23.978875,121.139639,1000.0,21.3,27.7,18.7,90.0,0.5,-99.0,晴,2026-09-23T22:10:00+08:00
12Q970,東港工作站,屏東縣,東港鎮,22.479997,120.466058,16.0,27.7,31.2,25.9,74.0,1.0,-99.0,多雲,2026-09-23T22:10:00+08:00
12J990,口湖工作站,雲林縣,口湖鄉,23.589978,120.180394,10.0,26.0,30.3,24.3,88.0,1.5,-99.0,晴,2026-09-23T22:10:00+08:00
12Q980,恆春工作站,屏東縣,車城鄉,22.079678,120.714425,16.0,27.0,27.4,26.8,72.0,7.4,-99.0,晴,2026-09-23T22:10:00+08:00
V2K620,麥寮合作社,雲林縣,麥寮鄉,23.753836,120.294783,9.0,25.8,29.1,23.6,87.0,2.1,-99.0,晴,2026-09-23T22:10:00+08:00
